"ARWO Stiftung, Wettingen",St. Bernhardstrasse 38,5430,Wettingen 2,AG,056 437 48 48,https://www.arwo.ch,admin@arwo.ch,www.facebook.com/arwostiftung/,9,3,,7,9,1,,47.4694938,8.3285538
"Asylzentrum, Rothrist",,,,AG,,,,,,,,,,1,,46.7985624,8.2319736
"Casa Cantero, betreutes Wohnen, Turgi",Oberriedenstrasse 19a,5412,Gebenstorf,AG,056 223 43 78 (tel) / 062 588 01 85 (fax),https://www.casacantero.ch/,info@casacantero.ch,,2,,2,5,,1,,47.4794215,8.2422968
"Chrischona-Gemeinde, Abgabestelle, Lenzburg (Lenzokirche)",Langsamstig 4,5600,Lenzburg,AG,062 891 28 03,https://lenzokirche.ch,info@lenzokirche.ch,www.facebook.com/Lenzokirche,8,1,2,1,5,1,,47.3903229,8.161168049519077
ChrüzPunkt (Freie Evangelische Gemeinde  Baden-Wettingen) ,Landstrasse 170,5430,Wettingen,AG,056 427 41 41 / 079 427 41 41,https://chrüzpunkt.ch/,info@chruezpunkt.ch,,8,,,1,3,4,,47.46148735,8.33596746709638
Evangelisch-methodistische Kirche,Effingerweg 2,5000,Aarau,AG,062 823 27 26,https://emk-schweiz.ch,markus.darugna@emk-schweiz.ch,www.facebook.com/EMKSchweiz/,8,,,1,3,4,,47.38958425,8.052405280868442
"Frauenhaus, Aarau (Geschäftsstelle)",Ziegelrain 1,5001,Aarau,AG,062 824 31 96 / 062 823 86 00,http://www.frauenhaus-ag-so.ch/,stiftung@frauenhaus-ag-so.ch,,3,3,2,5,9,1,,47.3915068,8.0445514
"Freundes-Dienst, Missionswerk, Biberstein",,,,AG,062 839 30 20,https://www.freundesdienst.org/,,www.facebook.com/Radio-Freundes-Dienst-564224040278889/,8,,,1,9,1,,46.7985624,8.2319736
"FEG Hand und Herz, Abgabestelle",Hauptstrasse 26,5314,Böttstein / Kleindöttingen ,AG,056 245 73 30 / 056 536 69 01 / 076 226 27 55,https://www.feg-unteresaaretal.ch/angebote/lebenslagen/hand-herz-lebensmittelabgabe/?fbclid=IwAR37r0qy-wFXURm2c-w3n6RolNc6zeNv2uenYPZOx4xubjZlPzHZ7d2e1-M,info@feg-unteresaaretal.ch / h_giessler@hispeed.ch ,www.facebook.com/Hand.und.Herz1/,8,1,,1,3,1,,47.5728258,8.2409664
"Heimgarten / Haus der evang. Landeskirche für Frauen, Brugg",Jurastrasse 5,5200,Brugg,AG,056 444 26 50 (tél.) / 056 444 26 57 (fax),http://www.heimgarten-brugg.ch/site/index.cfm,info@heimgarten-brugg.ch,,3,,2,5,3,1,,47.47410205,8.217853549999997
"HelpPoint, Abgabestelle, Strengelbach",Wiggerweg 4,4802,Strengelbach,AG,062 794 04 73,https://fmgz.ch/portal/,info@fmgz.ch,,8,,,1,3,1,,47.2819985,7.9339806
"HOPE, christliches Sozialwerk, Baden",Stadtturmstrasse 16,5400,Baden,AG,056 221 84 64,https://hope-baden.ch/,hope@hope-baden.ch,www.facebook.com/hope.christlichessozialwerk/,8,3,,1,5,1,,47.4762945,8.3054517
Hugenfeldschulhaus,Bahnhofstrasse 20,4310,Rheinfelden,AG,061 835 57 01,http://www.schulen-rheinfelden.ch/de/daten/schulhaeuser/welcome.php?action=showobject&object_id=2230,,,11,3,,,,4,Il s'agit d'une école,47.5516487,7.7921814
Katholische Kirche,Kirchweg 6,5426,Lengnau,AG,056 241 14 00,https://pastoralraum-surbtal-wuerenlingen.ch/lengnau/,sekretariat@pfarrei-lengnau-freienwil.ch,,8,,,1,4,4,,47.519709,8.3290468
"Kinderkrippe Unlimited Kids, Staffelbach",Dorfstrasse 20,5053,Staffelbach,AG,062 721 06 53,https://www.unlimitedkids.ch/,info@unlimitedkids.ch,,11,3,2,7,5,1,Concernant le public : enfants de 0 à 4 ans (Crèche),47.2868054,8.04168045731939
